,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
552,26,0.5,25,0.75,8.07079299,8.149332
553,12,0.64,11,0.44,3.196176974,3.061833
554,26,0.3,23,0.91,4.019489497,4.002975
555,25,0.21,22,0.57,2.756821748,2.772088
556,12,0.24,26,0.5,4.018698679,4.1249022
557,15,0.57,10,0.86,2.711149901,2.5608013
558,24,0.43,26,0.76,7.689823192,7.596024
559,35,0.56,17,0.56,5.171735332,5.118073
560,38,0.39,14,0.34,2.91618407,3.010359
561,19,0.63,18,0.47,5.512339536,5.3755126
562,36,0.55,25,0.54,8.039638843,8.057646
563,13,0.52,18,0.65,5.69512955,5.4442782
564,29,0.26,27,0.22,3.716072502,3.879371
565,32,0.49,25,0.28,5.406004512,5.3169627
566,6,0.32,15,0.75,2.49899748,2.359559
567,15,0.63,28,0.53,9.244147527,9.303381
568,31,0.58,23,0.85,8.176392741,8.033508
569,27,0.48,23,0.45,6.436316723,6.362063
570,16,0.45,22,0.3,4.873238778,4.798833
571,28,0.48,15,0.8,4.057393002,3.923047
572,6,0.64,20,0.27,4.392852879,3.984977
573,38,0.43,12,0.84,2.521935406,2.402001
574,13,0.57,15,0.58,4.724350504,4.454054
575,30,0.27,21,0.38,3.47613696,3.559471
576,38,0.33,18,0.32,3.310655511,3.4350162
577,15,0.29,28,0.31,4.621673114,4.7864256
578,22,0.31,14,0.84,1.971302484,1.8144705
579,15,0.25,18,0.97,1.825431961,1.6881628
580,32,0.64,15,0.46,4.550953759,4.317782
581,25,0.68,27,0.55,9.006064608,9.163406
582,35,0.43,28,0.66,8.201750464,8.256213
583,10,0.43,26,0.98,7.154780521,7.1532826
584,38,0.29,10,0.32,1.614256663,1.8188864
,,,,,12.3036729,
